"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","988","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Mar 23 15:51:54 UTC 2026","broken","Mon Mar 23 15:51:55 UTC 2026","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","10585","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Mar 23 15:53:13 UTC 2026","broken","Mon Mar 23 15:53:24 UTC 2026","tests.ui.RegistrationTest","Chrome","tests.ui.RegistrationTest","checkCreateNewAccount"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10546","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Mar 23 15:52:40 UTC 2026","broken","Mon Mar 23 15:52:51 UTC 2026","tests.ui.EventMapTest","Chrome","tests.ui.EventMapTest","checkMapMarker"
"Negative login check","472","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Mar 23 15:52:08 UTC 2026","broken","Mon Mar 23 15:52:09 UTC 2026","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"","103","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Mar 23 15:53:40 UTC 2026","failed","Mon Mar 23 15:53:40 UTC 2026","tests.api.CreateUserTest","Edge","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"","98","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Mar 23 15:54:23 UTC 2026","failed","Mon Mar 23 15:54:23 UTC 2026","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"Negative login check","284","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Mar 23 15:51:40 UTC 2026","broken","Mon Mar 23 15:51:41 UTC 2026","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","325","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Mar 23 15:51:43 UTC 2026","broken","Mon Mar 23 15:51:43 UTC 2026","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","492","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Mar 23 15:51:47 UTC 2026","broken","Mon Mar 23 15:51:48 UTC 2026","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10721","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Mar 23 15:52:54 UTC 2026","broken","Mon Mar 23 15:53:05 UTC 2026","tests.ui.EventMapTest","Edge","tests.ui.EventMapTest","checkMapMarker"
"","0","setUp","Meeting with friends CrossBrowserTest","Mon Mar 23 15:53:27 UTC 2026","failed","Mon Mar 23 15:53:27 UTC 2026","tests.api.TokenBasedAuthTest","Chrome","tests.api.TokenBasedAuthTest","setUp"
"Negative login check","481","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Mar 23 15:51:52 UTC 2026","broken","Mon Mar 23 15:51:52 UTC 2026","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"","189","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Mar 23 15:54:23 UTC 2026","failed","Mon Mar 23 15:54:23 UTC 2026","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10448","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Mar 23 15:53:32 UTC 2026","broken","Mon Mar 23 15:53:42 UTC 2026","tests.ui.EventMapTest","FireFox","tests.ui.EventMapTest","checkMapMarker"
"","0","setUp","Meeting with friends CrossBrowserTest","Mon Mar 23 15:53:40 UTC 2026","failed","Mon Mar 23 15:53:40 UTC 2026","tests.api.TokenBasedAuthTest","Edge","tests.api.TokenBasedAuthTest","setUp"
"Check if user can login from home page","10870","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Mar 23 15:52:20 UTC 2026","broken","Mon Mar 23 15:52:31 UTC 2026","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkValidLogin"
"Creating a new account with valid data","10772","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Mar 23 15:53:28 UTC 2026","broken","Mon Mar 23 15:53:39 UTC 2026","tests.ui.RegistrationTest","Edge","tests.ui.RegistrationTest","checkCreateNewAccount"
"","0","setUp","Meeting with friends CrossBrowserTest","Mon Mar 23 15:54:23 UTC 2026","failed","Mon Mar 23 15:54:23 UTC 2026","tests.api.TokenBasedAuthTest","FireFox","tests.api.TokenBasedAuthTest","setUp"
"Negative login check","723","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Mar 23 15:52:20 UTC 2026","broken","Mon Mar 23 15:52:21 UTC 2026","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","272","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Mar 23 15:51:38 UTC 2026","broken","Mon Mar 23 15:51:38 UTC 2026","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","682","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Mar 23 15:51:56 UTC 2026","broken","Mon Mar 23 15:51:57 UTC 2026","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"","0","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Mar 23 15:54:24 UTC 2026","skipped","Mon Mar 23 15:54:24 UTC 2026","tests.api.TokenBasedAuthTest","FireFox","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"","0","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Mar 23 15:53:40 UTC 2026","skipped","Mon Mar 23 15:53:40 UTC 2026","tests.api.TokenBasedAuthTest","Edge","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"Creating a new account with valid data","10496","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Mar 23 15:54:11 UTC 2026","broken","Mon Mar 23 15:54:22 UTC 2026","tests.ui.RegistrationTest","FireFox","tests.ui.RegistrationTest","checkCreateNewAccount"
