"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Dec 29 15:15:42 UTC 2025","failed","Mon Dec 29 15:15:42 UTC 2025","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"Creating a new account with valid data","10511","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Dec 29 15:15:30 UTC 2025","broken","Mon Dec 29 15:15:41 UTC 2025","tests.ui.RegistrationTest","FireFox","tests.ui.RegistrationTest","checkCreateNewAccount"
"Creating a new account with valid data","10603","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Dec 29 15:15:06 UTC 2025","broken","Mon Dec 29 15:15:17 UTC 2025","tests.ui.RegistrationTest","Edge","tests.ui.RegistrationTest","checkCreateNewAccount"
"","128","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Dec 29 15:14:48 UTC 2025","failed","Mon Dec 29 15:14:48 UTC 2025","tests.api.CreateUserTest","Chrome","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"Negative login check","295","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Dec 29 15:13:02 UTC 2025","broken","Mon Dec 29 15:13:03 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","522","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Dec 29 15:13:38 UTC 2025","broken","Mon Dec 29 15:13:39 UTC 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","465","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Dec 29 15:13:32 UTC 2025","broken","Mon Dec 29 15:13:33 UTC 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","443","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Dec 29 15:13:25 UTC 2025","broken","Mon Dec 29 15:13:26 UTC 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10463","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Dec 29 15:14:50 UTC 2025","broken","Mon Dec 29 15:15:01 UTC 2025","tests.ui.EventMapTest","FireFox","tests.ui.EventMapTest","checkMapMarker"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10629","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Dec 29 15:14:33 UTC 2025","broken","Mon Dec 29 15:14:44 UTC 2025","tests.ui.EventMapTest","Edge","tests.ui.EventMapTest","checkMapMarker"
"","0","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Dec 29 15:15:42 UTC 2025","skipped","Mon Dec 29 15:15:42 UTC 2025","tests.api.TokenBasedAuthTest","FireFox","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"","99","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Dec 29 15:15:42 UTC 2025","failed","Mon Dec 29 15:15:42 UTC 2025","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"Check if user can login from home page","10577","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Dec 29 15:13:59 UTC 2025","broken","Mon Dec 29 15:14:10 UTC 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkValidLogin"
"Negative login check","291","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Dec 29 15:12:58 UTC 2025","broken","Mon Dec 29 15:12:58 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"","98","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Dec 29 15:15:18 UTC 2025","failed","Mon Dec 29 15:15:18 UTC 2025","tests.api.CreateUserTest","Edge","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"Negative login check","459","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Dec 29 15:13:15 UTC 2025","broken","Mon Dec 29 15:13:16 UTC 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"","196","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Dec 29 15:14:47 UTC 2025","failed","Mon Dec 29 15:14:47 UTC 2025","tests.api.CreateUserTest","Chrome","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"Check if user can login from home page","10610","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Dec 29 15:14:10 UTC 2025","broken","Mon Dec 29 15:14:20 UTC 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkValidLogin"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10546","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Dec 29 15:14:01 UTC 2025","broken","Mon Dec 29 15:14:12 UTC 2025","tests.ui.EventMapTest","Chrome","tests.ui.EventMapTest","checkMapMarker"
