"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10712","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Sep 15 15:13:52 UTC 2025","broken","Mon Sep 15 15:14:03 UTC 2025","tests.ui.EventMapTest","FireFox","tests.ui.EventMapTest","checkMapMarker"
"","94","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Sep 15 15:14:10 UTC 2025","failed","Mon Sep 15 15:14:10 UTC 2025","tests.api.CreateUserTest","Edge","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10613","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Sep 15 15:13:08 UTC 2025","broken","Mon Sep 15 15:13:19 UTC 2025","tests.ui.EventMapTest","Chrome","tests.ui.EventMapTest","checkMapMarker"
"","1","setUp","Meeting with friends CrossBrowserTest","Mon Sep 15 15:13:55 UTC 2025","failed","Mon Sep 15 15:13:55 UTC 2025","tests.api.TokenBasedAuthTest","Chrome","tests.api.TokenBasedAuthTest","setUp"
"Negative login check","1334","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Sep 15 15:12:29 UTC 2025","broken","Mon Sep 15 15:12:31 UTC 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"","0","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Sep 15 15:14:10 UTC 2025","skipped","Mon Sep 15 15:14:10 UTC 2025","tests.api.TokenBasedAuthTest","Edge","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"","99","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Sep 15 15:14:44 UTC 2025","failed","Mon Sep 15 15:14:44 UTC 2025","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"Check if user can login from home page","11501","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Sep 15 15:12:50 UTC 2025","broken","Mon Sep 15 15:13:01 UTC 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkValidLogin"
"Negative login check","357","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Sep 15 15:12:05 UTC 2025","broken","Mon Sep 15 15:12:05 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"","96","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Sep 15 15:13:55 UTC 2025","failed","Mon Sep 15 15:13:55 UTC 2025","tests.api.CreateUserTest","Chrome","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"Negative login check","578","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Sep 15 15:12:21 UTC 2025","broken","Mon Sep 15 15:12:22 UTC 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","435","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Sep 15 15:12:26 UTC 2025","broken","Mon Sep 15 15:12:26 UTC 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"","0","setUp","Meeting with friends CrossBrowserTest","Mon Sep 15 15:14:44 UTC 2025","failed","Mon Sep 15 15:14:44 UTC 2025","tests.api.TokenBasedAuthTest","FireFox","tests.api.TokenBasedAuthTest","setUp"
"Check if user can login from home page","10501","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Sep 15 15:13:11 UTC 2025","broken","Mon Sep 15 15:13:22 UTC 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkValidLogin"
"Creating a new account with valid data","10579","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Sep 15 15:13:41 UTC 2025","broken","Mon Sep 15 15:13:52 UTC 2025","tests.ui.RegistrationTest","Chrome","tests.ui.RegistrationTest","checkCreateNewAccount"
"Check if user can login from home page","10709","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Sep 15 15:12:35 UTC 2025","broken","Mon Sep 15 15:12:46 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkValidLogin"
"","0","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Sep 15 15:13:55 UTC 2025","skipped","Mon Sep 15 15:13:55 UTC 2025","tests.api.TokenBasedAuthTest","Chrome","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"Creating a new account with valid data","10519","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Sep 15 15:14:32 UTC 2025","broken","Mon Sep 15 15:14:42 UTC 2025","tests.ui.RegistrationTest","FireFox","tests.ui.RegistrationTest","checkCreateNewAccount"
"","67","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Sep 15 15:13:54 UTC 2025","failed","Mon Sep 15 15:13:54 UTC 2025","tests.api.CreateUserTest","Chrome","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"","0","setUp","Meeting with friends CrossBrowserTest","Mon Sep 15 15:14:10 UTC 2025","failed","Mon Sep 15 15:14:10 UTC 2025","tests.api.TokenBasedAuthTest","Edge","tests.api.TokenBasedAuthTest","setUp"
"","107","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Sep 15 15:14:10 UTC 2025","failed","Mon Sep 15 15:14:10 UTC 2025","tests.api.CreateUserTest","Edge","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"Creating a new account with valid data","10655","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Sep 15 15:13:58 UTC 2025","broken","Mon Sep 15 15:14:09 UTC 2025","tests.ui.RegistrationTest","Edge","tests.ui.RegistrationTest","checkCreateNewAccount"
"Negative login check","555","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Sep 15 15:12:18 UTC 2025","broken","Mon Sep 15 15:12:18 UTC 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10791","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Sep 15 15:13:24 UTC 2025","broken","Mon Sep 15 15:13:35 UTC 2025","tests.ui.EventMapTest","Edge","tests.ui.EventMapTest","checkMapMarker"
"Negative login check","543","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Sep 15 15:12:41 UTC 2025","broken","Mon Sep 15 15:12:41 UTC 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"","0","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Sep 15 15:14:44 UTC 2025","skipped","Mon Sep 15 15:14:44 UTC 2025","tests.api.TokenBasedAuthTest","FireFox","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"","92","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Sep 15 15:14:43 UTC 2025","failed","Mon Sep 15 15:14:44 UTC 2025","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"Negative login check","419","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Sep 15 15:12:08 UTC 2025","broken","Mon Sep 15 15:12:08 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","614","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Sep 15 15:12:10 UTC 2025","broken","Mon Sep 15 15:12:11 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","501","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Sep 15 15:12:15 UTC 2025","broken","Mon Sep 15 15:12:16 UTC 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
