"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check if user can login from home page","10796","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Jul 07 15:10:55 GMT 2025","broken","Mon Jul 07 15:11:06 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkValidLogin"
"Creating a new account with valid data","10861","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Jul 07 15:12:04 GMT 2025","broken","Mon Jul 07 15:12:15 GMT 2025","tests.ui.RegistrationTest","Chrome","tests.ui.RegistrationTest","checkCreateNewAccount"
"","295","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Jul 07 15:13:22 GMT 2025","failed","Mon Jul 07 15:13:23 GMT 2025","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10651","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Jul 07 15:12:13 GMT 2025","broken","Mon Jul 07 15:12:24 GMT 2025","tests.ui.EventMapTest","Edge","tests.ui.EventMapTest","checkMapMarker"
"","284","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Jul 07 15:13:08 GMT 2025","failed","Mon Jul 07 15:13:08 GMT 2025","tests.api.TokenBasedAuthTest","Edge","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"Check if user can login from home page","10870","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Jul 07 15:11:35 GMT 2025","broken","Mon Jul 07 15:11:46 GMT 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkValidLogin"
"Creating a new account with valid data","10572","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Jul 07 15:13:10 GMT 2025","broken","Mon Jul 07 15:13:20 GMT 2025","tests.ui.RegistrationTest","FireFox","tests.ui.RegistrationTest","checkCreateNewAccount"
"Negative login check","358","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Jul 07 15:10:31 GMT 2025","broken","Mon Jul 07 15:10:32 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","583","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Jul 07 15:11:13 GMT 2025","broken","Mon Jul 07 15:11:14 GMT 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","846","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Jul 07 15:10:53 GMT 2025","broken","Mon Jul 07 15:10:53 GMT 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","331","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Jul 07 15:10:26 GMT 2025","broken","Mon Jul 07 15:10:26 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","10750","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Jul 07 15:12:51 GMT 2025","broken","Mon Jul 07 15:13:01 GMT 2025","tests.ui.RegistrationTest","Edge","tests.ui.RegistrationTest","checkCreateNewAccount"
"Negative login check","582","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Jul 07 15:10:45 GMT 2025","broken","Mon Jul 07 15:10:45 GMT 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"","1034","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Jul 07 15:13:24 GMT 2025","failed","Mon Jul 07 15:13:25 GMT 2025","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"Negative login check","604","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Jul 07 15:11:08 GMT 2025","broken","Mon Jul 07 15:11:09 GMT 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"","202","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Jul 07 15:13:27 GMT 2025","failed","Mon Jul 07 15:13:27 GMT 2025","tests.api.TokenBasedAuthTest","FireFox","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10772","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Jul 07 15:11:29 GMT 2025","broken","Mon Jul 07 15:11:40 GMT 2025","tests.ui.EventMapTest","Chrome","tests.ui.EventMapTest","checkMapMarker"
"Negative login check","474","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Jul 07 15:11:01 GMT 2025","broken","Mon Jul 07 15:11:01 GMT 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"","454","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Jul 07 15:12:21 GMT 2025","failed","Mon Jul 07 15:12:21 GMT 2025","tests.api.CreateUserTest","Chrome","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"","149","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Jul 07 15:12:24 GMT 2025","failed","Mon Jul 07 15:12:25 GMT 2025","tests.api.TokenBasedAuthTest","Chrome","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"","926","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Jul 07 15:13:05 GMT 2025","failed","Mon Jul 07 15:13:06 GMT 2025","tests.api.CreateUserTest","Edge","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"Negative login check","411","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Jul 07 15:10:59 GMT 2025","broken","Mon Jul 07 15:11:00 GMT 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
