"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","1305","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Jun 16 15:11:09 GMT 2025","passed","Mon Jun 16 15:11:10 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","1445","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Jun 16 15:12:35 GMT 2025","broken","Mon Jun 16 15:12:37 GMT 2025","tests.ui.EventMapTest","Edge","tests.ui.EventMapTest","checkMapMarker"
"Check if user can login from home page","12393","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Jun 16 15:12:15 GMT 2025","failed","Mon Jun 16 15:12:27 GMT 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkValidLogin"
"","830","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Jun 16 15:12:52 GMT 2025","failed","Mon Jun 16 15:12:53 GMT 2025","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"","124","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Jun 16 15:12:48 GMT 2025","failed","Mon Jun 16 15:12:48 GMT 2025","tests.api.TokenBasedAuthTest","Edge","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"Check if user can login from home page","11413","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Jun 16 15:12:16 GMT 2025","failed","Mon Jun 16 15:12:28 GMT 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkValidLogin"
"Creating a new account with valid data","2748","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Jun 16 15:12:48 GMT 2025","passed","Mon Jun 16 15:12:50 GMT 2025","tests.ui.RegistrationTest","FireFox","tests.ui.RegistrationTest","checkCreateNewAccount"
"","240","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Jun 16 15:11:57 GMT 2025","failed","Mon Jun 16 15:11:58 GMT 2025","tests.api.CreateUserTest","Chrome","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"Negative login check","1204","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Jun 16 15:11:12 GMT 2025","passed","Mon Jun 16 15:11:14 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","1437","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Jun 16 15:11:35 GMT 2025","passed","Mon Jun 16 15:11:36 GMT 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","1708","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Jun 16 15:11:43 GMT 2025","passed","Mon Jun 16 15:11:45 GMT 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
