"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","594","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Aug 11 15:12:31 GMT 2025","broken","Mon Aug 11 15:12:32 GMT 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"","0","setUp","Meeting with friends CrossBrowserTest","Mon Aug 11 15:15:03 GMT 2025","failed","Mon Aug 11 15:15:03 GMT 2025","tests.api.TokenBasedAuthTest","FireFox","tests.api.TokenBasedAuthTest","setUp"
"Negative login check","305","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Aug 11 15:12:18 GMT 2025","broken","Mon Aug 11 15:12:18 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10572","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Aug 11 15:13:19 GMT 2025","broken","Mon Aug 11 15:13:29 GMT 2025","tests.ui.EventMapTest","Chrome","tests.ui.EventMapTest","checkMapMarker"
"Creating a new account with valid data","10377","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Aug 11 15:14:50 GMT 2025","broken","Mon Aug 11 15:15:00 GMT 2025","tests.ui.RegistrationTest","FireFox","tests.ui.RegistrationTest","checkCreateNewAccount"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","10458","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Aug 11 15:14:10 GMT 2025","broken","Mon Aug 11 15:14:21 GMT 2025","tests.ui.EventMapTest","FireFox","tests.ui.EventMapTest","checkMapMarker"
"","95","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Aug 11 15:15:02 GMT 2025","failed","Mon Aug 11 15:15:02 GMT 2025","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"Check if user can login from home page","10690","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Aug 11 15:13:07 GMT 2025","broken","Mon Aug 11 15:13:17 GMT 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkValidLogin"
"Negative login check","268","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Aug 11 15:12:20 GMT 2025","broken","Mon Aug 11 15:12:21 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","11183","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Aug 11 15:13:41 GMT 2025","broken","Mon Aug 11 15:13:52 GMT 2025","tests.ui.EventMapTest","Edge","tests.ui.EventMapTest","checkMapMarker"
