"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","2476","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 28 15:11:05 GMT 2025","passed","Mon Apr 28 15:11:08 GMT 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","969","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 28 15:11:04 GMT 2025","passed","Mon Apr 28 15:11:05 GMT 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkInvalidLogin"
"The test logs into the application, sets the geolocation, opens the event page, clicks on the map, and asserts that the map is displayed.","2086","This test verifies the functionality of opening the street map and checking its visibility.","Meeting with friends CrossBrowserTest","Mon Apr 28 15:12:09 GMT 2025","broken","Mon Apr 28 15:12:11 GMT 2025","tests.ui.EventMapTest","FireFox","tests.ui.EventMapTest","checkMapMarker"
"","179","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Apr 28 15:11:54 GMT 2025","failed","Mon Apr 28 15:11:54 GMT 2025","tests.api.TokenBasedAuthTest","Chrome","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"Negative login check","1721","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 28 15:10:52 GMT 2025","passed","Mon Apr 28 15:10:54 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","1749","Verify that a new account can be created with valid data","Meeting with friends CrossBrowserTest","Mon Apr 28 15:12:04 GMT 2025","passed","Mon Apr 28 15:12:06 GMT 2025","tests.ui.RegistrationTest","Edge","tests.ui.RegistrationTest","checkCreateNewAccount"
"","309","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Apr 28 15:11:47 GMT 2025","failed","Mon Apr 28 15:11:47 GMT 2025","tests.api.CreateUserTest","Chrome","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"Negative login check","1301","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 28 15:10:57 GMT 2025","passed","Mon Apr 28 15:10:58 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"Negative login check","1467","Check that user cannot login with invalid data","Meeting with friends CrossBrowserTest","Mon Apr 28 15:10:55 GMT 2025","passed","Mon Apr 28 15:10:56 GMT 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkInvalidLogin"
"","975","shouldReturnConflictWhenCreatingUserWithExistingEmail","Meeting with friends CrossBrowserTest","Mon Apr 28 15:12:20 GMT 2025","failed","Mon Apr 28 15:12:21 GMT 2025","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldReturnConflictWhenCreatingUserWithExistingEmail"
"Check if user can login from home page","11936","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Apr 28 15:11:42 GMT 2025","failed","Mon Apr 28 15:11:53 GMT 2025","tests.ui.LoginTest","Edge","tests.ui.LoginTest","checkValidLogin"
"Check if user can login from home page","12461","Check if user can login from home page","Meeting with friends CrossBrowserTest","Mon Apr 28 15:11:41 GMT 2025","failed","Mon Apr 28 15:11:53 GMT 2025","tests.ui.LoginTest","FireFox","tests.ui.LoginTest","checkValidLogin"
"","193","shouldFetchUserByIdSuccessfully","Meeting with friends CrossBrowserTest","Mon Apr 28 15:12:24 GMT 2025","failed","Mon Apr 28 15:12:24 GMT 2025","tests.api.TokenBasedAuthTest","FireFox","tests.api.TokenBasedAuthTest","shouldFetchUserByIdSuccessfully"
"","304","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Apr 28 15:12:18 GMT 2025","failed","Mon Apr 28 15:12:19 GMT 2025","tests.api.CreateUserTest","FireFox","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
"","469","shouldCreateUserSuccessfully","Meeting with friends CrossBrowserTest","Mon Apr 28 15:12:07 GMT 2025","failed","Mon Apr 28 15:12:08 GMT 2025","tests.api.CreateUserTest","Edge","tests.api.CreateUserTest","shouldCreateUserSuccessfully"
